Theme,Theme,Максимум JaccardIndex,Main theme
Spider-Man,Ninjago,0.44191096634093374,Super Heroes
Super Heroes,Batman,0.4417808219178082,
Star Wars Rogue One,Star Wars Episode 1,0.44122137404580153,Star Wars
Harry Potter,Teenage Mutant Ninja Turtles,0.4375,
Pirates of the Caribbean,Star Wars Clone Wars,0.43722943722943725,
Star Wars Episode 7,Star Wars Episode 1,0.4364207221350079,Star Wars
Elves,Batman,0.4358683314415437,
Star Wars Episode 7,Star Wars Clone Wars,0.43536404160475484,Star Wars
Super Heroes,Ninjago,0.4335195530726257,
Pirates of the Caribbean,Star Wars Episode 1,0.4318181818181818,
Harry Potter,Spider-Man,0.43112701252236135,
Goblet of Fire,Fantasy Era,0.4260869565217391,Harry Potter
Pirates of the Caribbean,Star Wars Episode 2,0.42563291139240506,
Elves,Star Wars Episode 1,0.4248927038626609,
Minecraft,Elves,0.42436974789915966,
SpongeBob SquarePants,Spider-Man,0.42160278745644597,
Prisoner of Azkaban,Fantasy Era,0.4214876033057851,Harry Potter
Toy Story,Teenage Mutant Ninja Turtles,0.4209558823529412,
Elves,Star Wars Clone Wars,0.4206241519674355,
SpongeBob SquarePants,Star Wars Episode 1,0.42022116903633494,
Star Wars Rogue One,Star Wars Episode 4/5/6,0.41768707482993195,Star Wars
Super Heroes,Star Wars Clone Wars,0.4159891598915989,
Monster Fighters,Star Wars Clone Wars,0.41509433962264153,
Monster Fighters,Star Wars Episode 1,0.41500765696784075,
Pirates of the Caribbean,Star Wars,0.4122137404580153,
Star Wars Rogue One,Ninjago,0.4107551487414188,Star Wars
Pirates of the Caribbean,Star Wars Episode 4/5/6,0.40945945945945944,
Star Wars Episode 7,Star Wars Episode 4/5/6,0.4089012517385257,Star Wars
Star Wars Rogue One,Batman,0.4088269454123113,Star Wars
The Two Towers,Teenage Mutant Ninja Turtles,0.4066147859922179,The Lord of the Rings
SpongeBob SquarePants,Star Wars Episode 2,0.4039408866995074,
Pirates of the Caribbean,Ninjago,0.40386803185437997,
Disney Princess,Teenage Mutant Ninja Turtles,0.4020618556701031,
SpongeBob SquarePants,Star Wars Clone Wars,0.39911634756995584,
Ultimate Collector Series,Star Wars Episode 3,0.39893617021276595,Batman
Prisoner of Azkaban,Harry Potter,0.3978494623655914,Harry Potter
Ultimate Collector Series,Star Wars Episode 2,0.3961605584642234,Batman
The Two Towers,Avengers,0.39587242026266417,The Lord of the Rings
Star Wars Episode 7,Ninjago,0.39351851851851855,Star Wars
Toy Story,Star Wars Clone Wars,0.3930722891566265,
Harry Potter,Star Wars Episode 1,0.39274447949526814,
Pirates of the Caribbean,Batman,0.3922018348623853,
Monster Fighters,Batman,0.3920653442240373,
Goblet of Fire,SpongeBob SquarePants,0.391304347826087,Harry Potter
Disney,Star Wars Rebels,0.38976377952755903,
Fantasy Era,Star Wars Episode 3,0.38954468802698144,Castle
The Fellowship of the Ring,Monster Fighters,0.38860103626943004,The Lord of the Rings
Star Wars Episode 7,Batman,0.388042203985932,Star Wars
Disney,Elves,0.3867735470941884,
Harry Potter,The LEGO Movie,0.3858267716535433,
Guardians of the Galaxy,The LEGO Movie,0.38571428571428573,Super Heroes
Elves,Star Wars Episode 4/5/6,0.3848101265822785,
The Battle of the Five Armies,Teenage Mutant Ninja Turtles,0.38414634146341464,The Hobbit
Fantasy Era,Star Wars Episode 1,0.37990580847723704,Castle
Disney Princess,The LEGO Movie,0.37858220211161386,
SpongeBob SquarePants,The LEGO Movie,0.37846153846153846,
Fantasy Era,Star Wars Episode 2,0.3778877887788779,Castle
The Two Towers,The LEGO Movie,0.3775167785234899,The Lord of the Rings
Monster Fighters,Star Wars Episode 4/5/6,0.37735849056603776,
Super Heroes,Star Wars Episode 4/5/6,0.3770491803278688,
Toy Story,Star Wars Episode 1,0.3763779527559055,
Monster Fighters,Star Wars,0.375,
Toy Story,The LEGO Movie,0.37381703470031546,
Justice League,Star Wars Clone Wars,0.3686635944700461,Super Heroes
Ultimate Collector Series,Star Wars Clone Wars,0.36850152905198774,Batman
Guardians of the Galaxy,Star Wars,0.3679369250985545,Super Heroes
Fantasy Era,Star Wars Clone Wars,0.36764705882352944,Castle
SpongeBob SquarePants,Star Wars Episode 4/5/6,0.3676268861454047,
